business_id,name,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
7PDi_iyik3jraDAzWwwR4Q,Chase JP Morgan Bank Credit Card Services,Wilmington,DE,19850,39.749361,-75.643331,1.5,111,1,"Banks & Credit Unions, Financial Services"
FC6ef4rMMZKNov_-A9M6iQ,TD Bank Havertown,Haverford,PA,19083,39.985661,-75.3148439,1.5,6,1,"Banks & Credit Unions, Financial Services"
0QmgzzPVNHeNL76B8rwTKA,Beneficial Bank,Philadelphia,PA,19103,39.9511539,-75.1673349,2.5,5,0,"Banks & Credit Unions, Financial Services"
ZNfaufwJ0iug9Qz_mTluMw,Chase Bank,Tampa,FL,33607,27.959651,-82.505057,2.5,11,1,"Banks & Credit Unions, Financial Services"
PcDeBAT95JXyTBFeFvK7oA,Bank of America Financial Center,Land O Lakes,FL,34639,28.189369369,-82.457026729,1.5,6,1,"Financial Services, Banks & Credit Unions"
XsxcPxKdp8B3_-cCYmi8KA,GTE Federal Credit Union,Tampa,FL,33602,27.9486824,-82.4581395,1.5,14,1,"Financial Services, Banks & Credit Unions, Home Services, Real Estate, Mortgage Brokers"
32dPMAa3vC1eeih8ZfGCIw,Bank of America Financial Center,Saint Louis,MO,63108,38.643353292,-90.260600682,2.0,21,1,"Financial Services, Banks & Credit Unions, Home Services, Mortgage Brokers, Real Estate"
RaudZPPMftkimn3jgw5D2g,Bank of America Financial Center,Hendersonville,TN,37075,36.301861349,-86.631506292,1.5,8,1,"Financial Services, Real Estate, Home Services, Mortgage Brokers, Banks & Credit Unions"
s5tg9sBfO3FhJyvivXe15A,Bank of Tucson,Tucson,AZ,85704,32.3232104,-110.9742745,2.5,7,0,"Banks & Credit Unions, Financial Services"
rT1XbnU-U-iT1sPD54s5BA,Jos. A. Bank,Hendersonville,TN,37075,36.3293626,-86.5904583,3.0,6,0,"Shopping, Banks & Credit Unions, Formal Wear, Fashion, Financial Services, Men's Clothing, Plus Size Fashion"
LW2NazSUJ-l-Qj2Z75xf4g,Fifth Third Bank,Hendersonville,TN,37075,36.3323959,-86.6244641,2.5,6,1,"Financial Services, Banks & Credit Unions"
Ns1mgVrGKCxTv_ZGM9K7Vg,Chase Bank,Brentwood,MO,63144,38.628834,-90.341978,3.0,5,1,"Financial Services, Banks & Credit Unions"
NUXqB1WUZTBhCP4al8YOzQ,Bank of America Financial Center,Saint Louis,MO,63122,38.6048,-90.382500953,2.5,7,1,"Banks & Credit Unions, Financial Services, Home Services, Real Estate, Mortgage Brokers"
sveBePSaoY-hlbxs3U6fgA,U.S. Bank Branch,Fairview Heights,IL,62208,38.597057,-89.98674,1.5,10,1,"Financial Services, Real Estate, Home Services, Banks & Credit Unions, Mortgage Brokers, Financial Advising"
2eVDlVkr2uD3wdr6PbL7_A,Wells Fargo Bank,Isla Vista,CA,93117,34.4132270968,-119.854801856,4.5,9,1,"Banks & Credit Unions, Financial Services"
Q1-bq8MLTht0lqFx_pYuKg,Bank of America Financial Center,Reno,NV,89511,39.3931301728,-119.767245318,3.0,12,1,"Real Estate, Home Services, Mortgage Brokers, Banks & Credit Unions, Financial Services"
R-HCwu9UbasUudG1yTM1Ow,TD Banknorth,Philadelphia,PA,19195,39.95,-75.16,2.5,9,1,"Financial Services, Mortgage Brokers, Home Services, Real Estate, Banks & Credit Unions"
pejXBPcfrkzGg8QjLQFmYg,Fifth Third Bank,Pinellas Park,FL,33781,27.8423712,-82.7290088075,2.0,5,1,"Financial Services, Banks & Credit Unions"
L3Fhl5VwvY2ZShMB5EudiQ,Regions Bank,Gulfport,FL,33707,27.7479932,-82.7118116,1.5,7,1,"Financial Services, Banks & Credit Unions"
GnwEsZCA8gzKDB-pTRl3nw,PNC Bank,Philadelphia,PA,19131,40.0068508604,-75.2130997181,2.0,11,1,"Financial Services, Home Services, Banks & Credit Unions, Investing, Mortgage Brokers, Real Estate"
uNh0Y61NtILa30OgK2aiSA,Wells Fargo Bank,Bala Cynwyd,PA,19004,40.002198,-75.224348,1.5,7,1,"Financial Services, Banks & Credit Unions"
