business_id,date,hour,time
-4I0u12gYWIToYmdeyxpeQ,2010-07-08,12,12:43:09
-4I0u12gYWIToYmdeyxpeQ,2010-08-11,11,11:58:20
-4I0u12gYWIToYmdeyxpeQ,2010-08-25,16,16:54:51
-4I0u12gYWIToYmdeyxpeQ,2010-08-28,15,15:14:58
-4I0u12gYWIToYmdeyxpeQ,2010-09-01,17,17:19:08
-4I0u12gYWIToYmdeyxpeQ,2010-09-18,18,18:12:49
-4I0u12gYWIToYmdeyxpeQ,2011-02-04,18,18:36:58
-4I0u12gYWIToYmdeyxpeQ,2011-02-23,23,23:40:45
-4I0u12gYWIToYmdeyxpeQ,2011-02-26,12,12:13:58
-4I0u12gYWIToYmdeyxpeQ,2011-04-21,13,13:27:41
-4I0u12gYWIToYmdeyxpeQ,2011-04-25,11,11:42:12
-4I0u12gYWIToYmdeyxpeQ,2011-04-26,10,10:41:30
-4I0u12gYWIToYmdeyxpeQ,2011-04-28,0,00:11:47
-4I0u12gYWIToYmdeyxpeQ,2011-04-28,12,12:27:31
-4I0u12gYWIToYmdeyxpeQ,2011-04-30,2,02:37:00
-4I0u12gYWIToYmdeyxpeQ,2011-05-01,15,15:59:38
-4I0u12gYWIToYmdeyxpeQ,2011-05-03,0,00:11:33
-4I0u12gYWIToYmdeyxpeQ,2011-05-03,11,11:08:55
-4I0u12gYWIToYmdeyxpeQ,2011-05-05,0,00:55:20
-4I0u12gYWIToYmdeyxpeQ,2011-05-07,1,01:52:51
-4I0u12gYWIToYmdeyxpeQ,2011-05-07,15,15:26:25
-4I0u12gYWIToYmdeyxpeQ,2011-05-10,12,12:00:56
-4I0u12gYWIToYmdeyxpeQ,2011-05-10,23,23:53:18
-4I0u12gYWIToYmdeyxpeQ,2011-05-16,18,18:37:29
-4I0u12gYWIToYmdeyxpeQ,2011-05-21,14,14:13:32
-4I0u12gYWIToYmdeyxpeQ,2011-11-19,18,18:47:07
-4I0u12gYWIToYmdeyxpeQ,2012-04-23,16,16:33:45
-4I0u12gYWIToYmdeyxpeQ,2012-04-27,19,19:25:55
-4I0u12gYWIToYmdeyxpeQ,2012-07-10,18,18:36:54
-4I0u12gYWIToYmdeyxpeQ,2012-08-05,22,22:04:23
-4I0u12gYWIToYmdeyxpeQ,2012-08-21,21,21:07:47
-4I0u12gYWIToYmdeyxpeQ,2012-08-27,19,19:08:48
-4I0u12gYWIToYmdeyxpeQ,2012-09-04,0,00:27:30
-4I0u12gYWIToYmdeyxpeQ,2012-09-04,0,00:27:41
-4I0u12gYWIToYmdeyxpeQ,2012-09-07,19,19:04:46
-4I0u12gYWIToYmdeyxpeQ,2012-09-08,21,21:18:44
-4I0u12gYWIToYmdeyxpeQ,2012-09-09,22,22:47:34
-4I0u12gYWIToYmdeyxpeQ,2012-10-01,21,21:17:32
-4I0u12gYWIToYmdeyxpeQ,2012-10-05,22,22:23:59
-4I0u12gYWIToYmdeyxpeQ,2012-10-06,14,14:22:04
-4I0u12gYWIToYmdeyxpeQ,2012-10-07,19,19:52:38
-4I0u12gYWIToYmdeyxpeQ,2012-11-28,21,21:34:35
-4I0u12gYWIToYmdeyxpeQ,2012-12-30,2,02:20:08
-4I0u12gYWIToYmdeyxpeQ,2013-03-07,16,16:54:00
-4I0u12gYWIToYmdeyxpeQ,2013-03-07,19,19:45:22
-4I0u12gYWIToYmdeyxpeQ,2013-04-04,16,16:41:27
-4I0u12gYWIToYmdeyxpeQ,2013-05-02,21,21:51:57
-4I0u12gYWIToYmdeyxpeQ,2013-05-04,15,15:54:06
-4I0u12gYWIToYmdeyxpeQ,2013-05-14,23,23:17:53
-4I0u12gYWIToYmdeyxpeQ,2013-05-21,0,00:39:44
-4I0u12gYWIToYmdeyxpeQ,2013-05-21,1,01:47:25
-4I0u12gYWIToYmdeyxpeQ,2013-06-01,16,16:06:59
-4I0u12gYWIToYmdeyxpeQ,2013-06-12,15,15:57:06
-4I0u12gYWIToYmdeyxpeQ,2013-06-14,20,20:43:31
-4I0u12gYWIToYmdeyxpeQ,2013-07-09,21,21:11:17
-4I0u12gYWIToYmdeyxpeQ,2013-08-29,23,23:28:16
-4I0u12gYWIToYmdeyxpeQ,2013-10-04,20,20:51:39
-4I0u12gYWIToYmdeyxpeQ,2015-08-17,18,18:48:22
-ENIvUeumwfMA-c10TYm0w,2010-03-27,0,00:38:04
-ENIvUeumwfMA-c10TYm0w,2011-02-25,0,00:29:18
-ENIvUeumwfMA-c10TYm0w,2011-03-30,22,22:38:03
-ENIvUeumwfMA-c10TYm0w,2011-05-17,18,18:09:09
-ENIvUeumwfMA-c10TYm0w,2012-05-19,14,14:13:56
-ENIvUeumwfMA-c10TYm0w,2012-05-19,22,22:03:29
-ENIvUeumwfMA-c10TYm0w,2012-11-08,17,17:47:00
-ENIvUeumwfMA-c10TYm0w,2012-11-09,12,12:42:26
