user_id,business_id,text,date,compliment_count,hour,time
uIKD7cJF4ZWkicin2ulWPg,iUbEzrvaq74ET-SAEayRzw,Even the drive through effing sucks,2013-12-19,0,15,15:35:14
lAW03ccfMEuRZiDqvVgc0w,pkz0ctu2Nccjznsx_ihr7Q,Visa Debit is here!,2014-09-03,0,21,21:22:35
rb1gCIyinPQss5Smnfgr2A,6eKWeZJAuO6CDtH2SCXNDA,"Don't ask the staff at Jefferson Hospital about a bank.  It's been my experience that they don't know about this bank in their own building.  My dad was in Jeff for several days, and the closest ATM I saw until about 2 days before he came home was in Market East Station.  If the staff at Jeff told me there was a TD located RIGHT IN THE BUILDING (just at a different entrance than I'd been using), I could have saved quite a bit on fees.",2014-06-09,0,7,07:40:29
mWamaq-Awy6tf7U4bCtT1A,aqKvIjinoVOy-P6zy-JVMQ,Friday afternoon..it's paydayyyyy,2012-08-03,0,18,18:53:39
cSKLV3CudAbHGW5GOHoRJQ,Nr-rq1R1l6SLy8nrhEOalw,ATM gives under $20 bills so this is a good place to grab cash :),2014-08-27,0,21,21:33:00
7fDqaGdUMccXQ4bnPwR6yg,c040XmbZfcVErLOj6FIv0g,"No more free checking, say what?!?",2011-05-04,0,15,15:35:39
ZXCGLSEIJfV_g_MbDs4CYQ,ggJXlslLYndvE7n3hgJBCQ,"Coffee is good but you much try thier soups, good!",2012-03-11,0,23,23:38:44
NkPZOzgxW4jU0kygcgVBlQ,Ff852WLwy5qyk9-9Sx0h8w,Convenience on the Mesa!,2014-06-19,0,18,18:49:24
AaJ9d4OrFmgc4S_U2QiSZg,ifhfWlsNyQa8Uy9QVRCC1A,Quick and easy ATM that's never busy,2014-09-24,0,4,04:48:26
WHaISgEzqLJDfZ6EmiqOaA,Q1-bq8MLTht0lqFx_pYuKg,"Good location! Very convient. Never go inside, just use the ATM.",2014-08-27,0,4,04:02:46
1DSUgFbSajl1sG8gizhXyg,UzaUGFMsLZPJa0F83Er0fg,What an utterly useless staff. How they manage to stay in business is beyond me. My attempt to ask simple questions about a banking issue resulted in condescension.,2016-07-29,0,14,14:58:45
F0OOImUSAd1cRV7l9PJDpQ,0nbU3WQ1k8VzWWUZ9-wwbQ,Great service and friendly people! This is my favorite place to do my banking.,2015-06-04,0,14,14:47:03
EuopqHg-cCgb0MjbIRCWJQ,7gnMU6LBniKb52hUOJhgKA,Sierra was incredibly helpful today when dealing with fault accounts on my debit card!,2017-11-27,0,20,20:16:09
8M4_nA8e9VacrirvCwrl8Q,71KYYYvMzzcvLFG_YtFSAA,Probably my favorite US Bank branch,2015-01-22,0,19,19:30:21
5Y5KbsI5buMcNh2hTFaRpA,gn44fzqT4LSuBCnTU-J2Aw,Fantastic business savings rates,2012-04-30,0,18,18:46:30
X1nvKXUJ5Lp3W9Oe-_JrMQ,_05DcCQmCP5aGnfCnI4r9Q,I liked the ING Cafe color scheme better. ;-),2013-03-26,0,11,11:27:26
0q8wOyqDne96nrlZ0yJHuQ,2cfzYVDUH_AA-aNg1N24Cw,This location has two drive up ATMs! How convenient!,2013-12-06,0,17,17:57:02
mtWIYwn7TJqETrn5Ot_miw,eox0eTlcTFf1Txwor-b6DA,"They kindly caught a big miscalculation in my deposit. It had been awhile since I was able to get there so they piled up, hence my bad.",2010-07-27,0,20,20:43:50
O6X5CjOE5Xj6osM33IPmiw,v7p5tXAdbk9b2HTPY3uB1w,I don't know why I still bank here,2012-11-13,0,19,19:05:52
raccLemMnCJCKjZBac6fEA,_05DcCQmCP5aGnfCnI4r9Q,Great Bagel!!!!!,2012-03-28,0,13,13:59:12
do2okehgMVtGnIi_C69G7A,OnkpsX-brf0roE1ikSYNPg,Access the ATM after hours by sliding your card at the door!,2013-08-22,0,18,18:30:31
MfJkJhp0QLbavUJYz3rlLg,87telnwfX3rIzP_ivQEURw,Wish they had drive through ATM.,2011-02-16,0,21,21:38:57
U4mQq2rE04_NgLQdWb7VSA,jhA20KJajtWPuduOtsmcBw,I don't think anyone works here.. awful.,2017-09-28,0,19,19:42:03
RQNfkPx2t9hoAzdB9TGuAw,wgwauUKABf2qUo-_LcPa8w,Drive-thru is open from 9am to 1pm on Saturdays.,2011-02-26,0,17,17:40:03
P5BVWRF4C5OCp8crIP6I1Q,uNh0Y61NtILa30OgK2aiSA,Wachovia is now known as Wells Fargo,2011-04-26,0,3,03:45:52
5_P4xF-hxYCByFIDO836NA,YjiaGnfaVWVlOzOQ8GK6NA,Rolled chicken tacos are back!!!!!,2015-02-28,0,21,21:39:36
-KduD3wwydWDq2GrODh2tw,MFlPmdwoqOJCK9SLeaofwQ,ATM down again!!!  It's chronic.,2012-04-17,0,17,17:13:19
HjyeYbnxg20fzRK7jyqPHg,TgrWD2h-dMFgSEl6In3dyQ,TD bank has notary service whenever the lobby is open.,2017-09-27,0,17,17:00:56
